Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90
1514,Unai López,ESP,MF,Rayo Vallecano,La Liga,27.0,1995.0,35,28,2108,23.4,1,2,3,1,0,0,8,0,1.1,1.1,2.5,3.7,32.0,116.0,59.0,0.04,0.09,0.13,0.04,0.13,0.05,0.11,0.16,0.05,0.16
1515,Dion Lopy,SEN,MF,Almería,La Liga,21.0,2002.0,30,23,1916,21.3,0,0,0,0,0,0,5,0,1.3,1.3,1.2,2.4,23.0,90.0,19.0,0.0,0.0,0.0,0.0,0.0,0.06,0.05,0.11,0.06,0.11
1516,Anthony Losilla,FRA,MF,Bochum,Bundesliga,37.0,1986.0,31,31,2576,28.6,1,2,3,1,0,0,10,0,2.3,2.3,1.5,3.7,11.0,100.0,42.0,0.03,0.07,0.1,0.03,0.1,0.08,0.05,0.13,0.08,0.13
1517,Jordan Lotomba,SUI,DF,Nice,Ligue 1,24.0,1998.0,28,21,1804,20.0,1,0,1,1,0,0,4,0,0.9,0.9,1.1,2.0,36.0,52.0,40.0,0.05,0.0,0.05,0.05,0.05,0.04,0.05,0.1,0.04,0.1
1518,Tom Louchet,FRA,MF,Nice,Ligue 1,20.0,2003.0,13,3,409,4.5,1,1,2,1,0,0,1,0,1.0,1.0,0.7,1.7,6.0,18.0,40.0,0.22,0.22,0.44,0.22,0.44,0.23,0.16,0.38,0.23,0.38
1519,Imran Louza,MAR,MF,Lorient,Ligue 1,24.0,1999.0,14,10,863,9.6,1,3,4,1,0,0,1,0,1.1,1.1,2.5,3.6,19.0,83.0,36.0,0.1,0.31,0.42,0.1,0.42,0.11,0.27,0.37,0.11,0.37
1520,Matteo Lovato,ITA,DF,Torino,Serie A,23.0,2000.0,13,6,544,6.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
1521,Matteo Lovato,ITA,DF,Salernitana,Serie A,23.0,2000.0,13,11,947,10.5,0,0,0,0,0,0,2,0,0.0,0.0,0.2,0.2,1.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02
1522,Dejan Lovren,CRO,DF,Lyon,Ligue 1,34.0,1989.0,10,8,718,8.0,0,0,0,0,0,0,2,1,0.4,0.4,0.0,0.5,5.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06
1523,Sandi Lovrić,SVN,MF,Udinese,Serie A,25.0,1998.0,29,21,1987,22.1,1,3,4,1,0,0,1,1,3.5,3.5,3.3,6.8,52.0,80.0,80.0,0.05,0.14,0.18,0.05,0.18,0.16,0.15,0.31,0.16,0.31
1524,Max Lowe,ENG,DF,Sheffield Utd,Premier League,26.0,1997.0,10,4,503,5.6,0,0,0,0,0,0,1,0,0.6,0.6,0.7,1.3,5.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.1,0.13,0.23,0.1,0.23
1525,Anthony Lozano,HON,MF,Getafe,La Liga,30.0,1993.0,6,0,92,1.0,0,0,0,0,0,0,1,0,0.2,0.2,0.3,0.4,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.18,0.25,0.43,0.18,0.43
1526,Anthony Lozano,HON,FW,Almería,La Liga,30.0,1993.0,13,10,772,8.6,3,0,3,3,0,0,1,0,3.3,3.3,0.7,4.0,12.0,16.0,24.0,0.35,0.0,0.35,0.35,0.35,0.38,0.08,0.46,0.38,0.46
1527,Lucas,BRA,DF,Cádiz,La Liga,22.0,2001.0,28,15,1539,17.1,1,0,1,1,0,0,6,0,0.8,0.8,1.9,2.7,30.0,47.0,65.0,0.06,0.0,0.06,0.06,0.06,0.05,0.11,0.16,0.05,0.16
1528,Lorenzo Lucca,ITA,FW,Udinese,Serie A,22.0,2000.0,37,30,2592,28.8,8,4,12,8,0,0,6,0,7.8,7.8,1.6,9.4,10.0,18.0,118.0,0.28,0.14,0.42,0.28,0.42,0.27,0.06,0.33,0.27,0.33
1529,Jhon Lucumí,COL,DF,Bologna,Serie A,25.0,1998.0,29,23,2217,24.6,0,0,0,0,0,0,1,0,0.8,0.8,0.3,1.1,28.0,93.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04
1530,José Luis Gayà,ESP,DF,Valencia,La Liga,28.0,1995.0,24,22,1791,19.9,1,2,3,1,0,0,2,0,0.5,0.5,2.6,3.1,41.0,72.0,97.0,0.05,0.1,0.15,0.05,0.15,0.02,0.13,0.15,0.02,0.15
1531,José Luis Morales,ESP,FW,Villarreal,La Liga,36.0,1987.0,29,8,1048,11.6,7,0,7,7,0,0,0,0,5.6,5.6,0.6,6.1,29.0,17.0,79.0,0.6,0.0,0.6,0.6,0.6,0.48,0.05,0.52,0.48,0.52
1533,Douglas Luiz,BRA,MF,Aston Villa,Premier League,25.0,1998.0,35,35,2993,33.3,9,5,14,5,4,4,12,0,6.9,3.8,5.4,9.2,60.0,168.0,50.0,0.27,0.15,0.42,0.15,0.3,0.21,0.16,0.37,0.11,0.28
1534,Romelu Lukaku,BEL,FW,Roma,Serie A,30.0,1993.0,32,30,2641,29.3,13,3,16,13,0,1,5,1,9.8,9.0,2.4,11.4,37.0,37.0,234.0,0.44,0.1,0.55,0.44,0.55,0.33,0.08,0.42,0.31,0.39
1535,Castello Lukeba,FRA,DF,RB Leipzig,Bundesliga,20.0,2002.0,32,24,2191,24.3,1,0,1,1,0,0,3,0,0.8,0.8,0.1,0.9,23.0,107.0,9.0,0.04,0.0,0.04,0.04,0.04,0.03,0.01,0.04,0.03,0.04
1536,Dodi Lukebakio,BEL,FW,Sevilla,La Liga,25.0,1997.0,23,12,1125,12.5,5,1,6,5,0,0,0,0,5.6,5.6,0.7,6.2,48.0,26.0,116.0,0.4,0.08,0.48,0.4,0.48,0.45,0.05,0.5,0.45,0.5
1537,Saša Lukić,SRB,MF,Fulham,Premier League,26.0,1996.0,24,13,1122,12.5,1,0,1,1,0,0,3,0,1.6,1.6,0.8,2.4,12.0,43.0,27.0,0.08,0.0,0.08,0.08,0.08,0.13,0.06,0.19,0.13,0.19
1539,Andriy Lunin,UKR,GK,Real Madrid,La Liga,24.0,1999.0,21,21,1890,21.0,0,0,0,0,0,0,2,0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
1540,Sebastiano Luperto,ITA,DF,Empoli,Serie A,26.0,1996.0,38,38,3406,37.8,1,1,2,1,0,0,4,0,1.7,1.7,1.0,2.7,13.0,100.0,13.0,0.03,0.03,0.05,0.03,0.05,0.04,0.03,0.07,0.04,0.07
1541,Mateus Lusuardi,BRA,DF,Frosinone,Serie A,19.0,2004.0,4,3,219,2.4,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03
1543,Zito Luvumbo,ANG,FW,Cagliari,Serie A,21.0,2002.0,30,19,1946,21.6,4,5,9,4,0,0,5,0,4.0,4.0,3.1,7.1,85.0,21.0,181.0,0.18,0.23,0.42,0.18,0.42,0.18,0.14,0.33,0.18,0.33
1544,Charalambos Lykogiannis,GRE,DF,Bologna,Serie A,29.0,1993.0,22,10,904,10.0,2,1,3,2,0,0,2,0,1.3,1.3,1.6,2.9,36.0,35.0,41.0,0.2,0.1,0.3,0.2,0.3,0.13,0.16,0.29,0.13,0.29
1545,Senne Lynen,BEL,MF,Werder Bremen,Bundesliga,24.0,1999.0,32,20,1797,20.0,0,3,3,0,0,0,6,0,0.4,0.4,1.8,2.2,10.0,66.0,28.0,0.0,0.15,0.15,0.0,0.15,0.02,0.09,0.11,0.02,0.11
1548,Ian Maatsen,NED,FW,Chelsea,Premier League,21.0,2002.0,12,1,209,2.3,0,0,0,0,0,0,1,0,0.8,0.8,0.1,0.9,9.0,8.0,15.0,0.0,0.0,0.0,0.0,0.0,0.35,0.04,0.39,0.35,0.39
1549,Ian Maatsen,NED,DF,Dortmund,Bundesliga,21.0,2002.0,16,15,1264,14.0,2,2,4,2,0,0,5,0,0.9,0.9,1.4,2.3,41.0,80.0,49.0,0.14,0.14,0.28,0.14,0.28,0.07,0.1,0.17,0.07,0.17
1550,Alexis Mac Allister,ARG,MF,Liverpool,Premier League,24.0,1998.0,33,31,2599,28.9,5,5,10,4,1,1,7,1,3.7,2.9,3.6,6.4,44.0,209.0,48.0,0.17,0.17,0.35,0.14,0.31,0.13,0.12,0.25,0.1,0.22
1551,Deiver Machado,COL,DF,Lens,Ligue 1,29.0,1993.0,19,13,1124,12.5,4,0,4,4,0,0,4,0,1.7,1.7,1.3,2.9,22.0,26.0,74.0,0.32,0.0,0.32,0.32,0.32,0.13,0.1,0.24,0.13,0.24
1552,Darwin Machís,VEN,MF,Cádiz,La Liga,30.0,1993.0,21,10,785,8.7,4,0,4,3,1,1,0,1,1.4,0.6,0.7,1.3,20.0,15.0,54.0,0.46,0.0,0.46,0.34,0.34,0.16,0.08,0.24,0.07,0.15
1553,James Maddison,ENG,MF,Tottenham,Premier League,26.0,1996.0,28,26,2135,23.7,4,9,13,4,0,0,5,0,6.4,6.4,5.9,12.4,58.0,224.0,156.0,0.17,0.38,0.55,0.17,0.55,0.27,0.25,0.52,0.27,0.52
1554,Noni Madueke,ENG,FW,Chelsea,Premier League,21.0,2002.0,23,13,1053,11.7,5,2,7,4,1,1,2,0,2.5,1.7,2.6,4.3,76.0,52.0,136.0,0.43,0.17,0.6,0.34,0.51,0.21,0.23,0.44,0.14,0.37
1555,Pablo Maffeo,ESP,DF,Mallorca,La Liga,26.0,1997.0,22,17,1454,16.2,1,2,3,1,0,0,3,1,0.8,0.8,0.9,1.7,38.0,41.0,68.0,0.06,0.12,0.19,0.06,0.19,0.05,0.05,0.1,0.05,0.1
1556,Gabriel Magalhães,BRA,DF,Arsenal,Premier League,25.0,1997.0,36,34,3044,33.8,4,0,4,4,0,0,4,0,4.3,4.3,0.7,5.0,13.0,117.0,8.0,0.12,0.0,0.12,0.12,0.12,0.13,0.02,0.15,0.13,0.15
1557,Soungoutou Magassa,FRA,DF,Monaco,Ligue 1,19.0,2003.0,21,15,1346,15.0,0,0,0,0,0,0,7,0,0.6,0.6,0.1,0.8,7.0,92.0,13.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05
1558,Giulio Maggiore,ITA,MF,Salernitana,Serie A,25.0,1998.0,27,20,1800,20.0,4,2,6,4,0,0,9,1,2.3,2.3,1.1,3.4,8.0,64.0,25.0,0.2,0.1,0.3,0.2,0.3,0.11,0.06,0.17,0.11,0.17
1559,Matej Maglica,CRO,DF,Darmstadt 98,Bundesliga,24.0,1998.0,26,21,1698,18.9,1,0,1,1,0,0,7,2,0.6,0.6,0.7,1.2,11.0,62.0,5.0,0.05,0.0,0.05,0.05,0.05,0.03,0.03,0.06,0.03,0.06
1560,Giangiacomo Magnani,ITA,DF,Hellas Verona,Serie A,27.0,1995.0,33,27,2444,27.2,0,0,0,0,0,0,6,0,0.5,0.5,0.2,0.8,15.0,79.0,10.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03
1561,Hugo Magnetti,FRA,MF,Brest,Ligue 1,25.0,1998.0,33,30,2340,26.0,2,0,2,2,0,0,6,0,2.4,2.4,1.8,4.3,36.0,101.0,61.0,0.08,0.0,0.08,0.08,0.08,0.09,0.07,0.16,0.09,0.16
1562,Yohann Magnin,FRA,MF,Clermont Foot,Ligue 1,26.0,1997.0,31,17,1687,18.7,1,0,1,1,0,0,2,0,1.6,1.6,0.7,2.3,14.0,71.0,47.0,0.05,0.0,0.05,0.05,0.05,0.09,0.04,0.12,0.09,0.12
1563,Frank Magri,CMR,FW,Toulouse,Ligue 1,23.0,1999.0,29,14,1438,16.0,5,2,7,5,0,0,5,0,3.1,3.1,1.6,4.7,31.0,34.0,121.0,0.31,0.13,0.44,0.31,0.44,0.19,0.1,0.29,0.19,0.29
1564,Harry Maguire,ENG,DF,Manchester Utd,Premier League,30.0,1993.0,22,18,1653,18.4,2,2,4,2,0,0,4,0,2.0,2.0,1.2,3.3,20.0,73.0,2.0,0.11,0.11,0.22,0.11,0.22,0.11,0.07,0.18,0.11,0.18
1565,Jon Magunacelaya,ESP,FW,Real Sociedad,La Liga,23.0,2000.0,5,1,121,1.3,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.7,2.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.21,0.34,0.55,0.21,0.55
1567,Arne Maier,GER,MF,Augsburg,Bundesliga,24.0,1999.0,22,10,1003,11.1,2,4,6,2,0,0,0,0,1.5,1.5,2.3,3.9,17.0,64.0,66.0,0.18,0.36,0.54,0.18,0.54,0.14,0.21,0.35,0.14,0.35
1568,Habib Maïga,CIV,MF,Metz,Ligue 1,27.0,1996.0,7,1,147,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07
1569,Mike Maignan,FRA,GK,Milan,Serie A,28.0,1995.0,29,29,2609,29.0,0,1,1,0,0,0,1,1,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.01,0.01,0.0,0.01
1570,Linton Maina,GER,FW,Köln,Bundesliga,24.0,1999.0,31,21,1901,21.1,1,3,4,1,0,0,4,0,1.9,1.9,3.1,5.0,109.0,61.0,169.0,0.05,0.14,0.19,0.05,0.19,0.09,0.15,0.24,0.09,0.24
1571,Patrick Mainka,GER,DF,Heidenheim,Bundesliga,28.0,1994.0,34,34,3060,34.0,2,0,2,2,0,0,1,0,3.2,3.2,0.1,3.2,33.0,122.0,6.0,0.06,0.0,0.06,0.06,0.06,0.09,0.0,0.09,0.09,0.09
1572,Kobbie Mainoo,ENG,MF,Manchester Utd,Premier League,18.0,2005.0,24,24,1924,21.4,3,1,4,3,0,0,3,0,0.9,0.9,0.7,1.6,25.0,64.0,36.0,0.14,0.05,0.19,0.14,0.19,0.04,0.03,0.07,0.04,0.07
1573,Ainsley Maitland-Niles,ENG,DF,Lyon,Ligue 1,25.0,1997.0,23,16,1432,15.9,1,4,5,0,1,1,1,1,3.0,2.2,2.1,4.2,26.0,76.0,82.0,0.06,0.25,0.31,0.0,0.25,0.19,0.13,0.32,0.14,0.27
1574,Radosław Majecki,POL,GK,Monaco,Ligue 1,23.0,1999.0,12,12,1080,12.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576,Lovro Majer,CRO,MF,Wolfsburg,Bundesliga,25.0,1998.0,32,25,2106,23.4,5,5,10,3,2,2,5,0,5.4,3.8,3.2,7.0,61.0,124.0,140.0,0.21,0.21,0.43,0.13,0.34,0.23,0.14,0.37,0.16,0.3
1577,Jean-Victor Makengo,FRA,MF,Lorient,Ligue 1,25.0,1998.0,11,5,479,5.3,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,11.0,28.0,17.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05
1578,Jordy Makengo,FRA,DF,Freiburg,Bundesliga,21.0,2001.0,20,10,1026,11.4,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,27.0,52.0,34.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04
1579,Antoine Makoumbou,CGO,MF,Cagliari,Serie A,25.0,1998.0,32,32,2702,30.0,1,0,1,1,0,0,5,2,0.7,0.7,0.9,1.6,37.0,137.0,52.0,0.03,0.0,0.03,0.03,0.03,0.02,0.03,0.05,0.02,0.05
1580,Nemanja Maksimović,SRB,MF,Getafe,La Liga,28.0,1995.0,37,37,3265,36.3,4,0,4,4,0,0,4,0,5.5,5.5,1.1,6.6,22.0,73.0,35.0,0.11,0.0,0.11,0.11,0.11,0.15,0.03,0.18,0.15,0.18
1581,Julián Malatini,ARG,DF,Werder Bremen,Bundesliga,22.0,2001.0,11,6,602,6.7,1,0,1,1,0,0,1,0,1.0,1.0,0.2,1.2,9.0,27.0,7.0,0.15,0.0,0.15,0.15,0.15,0.15,0.04,0.18,0.15,0.18
1582,Daniel Maldini,ITA,MF,Monza,Serie A,21.0,2001.0,11,2,333,3.7,4,1,5,4,0,0,0,0,1.3,1.3,1.2,2.4,15.0,10.0,22.0,1.08,0.27,1.35,1.08,1.35,0.34,0.31,0.65,0.34,0.65
1583,Daniel Maldini,ITA,FW,Empoli,Serie A,21.0,2001.0,7,3,263,2.9,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,7.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.12,0.1,0.12
1584,Youssef Maleh,MAR,MF,Empoli,Serie A,24.0,1998.0,34,30,2602,28.9,0,1,1,0,0,0,11,0,1.6,1.6,2.4,4.0,17.0,117.0,65.0,0.0,0.03,0.03,0.0,0.03,0.05,0.08,0.14,0.05,0.14
1585,Donyell Malen,NED,FW,Dortmund,Bundesliga,24.0,1999.0,27,21,1781,19.8,13,1,14,13,0,0,5,0,9.5,9.5,3.0,12.5,73.0,57.0,163.0,0.66,0.05,0.71,0.66,0.71,0.48,0.15,0.63,0.48,0.63
1586,Ruslan Malinovskyi,UKR,MF,Genoa,Serie A,30.0,1993.0,28,18,1544,17.2,4,1,5,4,0,0,7,0,1.1,1.1,0.6,1.6,24.0,83.0,31.0,0.23,0.06,0.29,0.23,0.29,0.06,0.03,0.1,0.06,0.1
1587,Lennard Maloney,USA,MF,Heidenheim,Bundesliga,23.0,1999.0,29,27,2284,25.4,1,1,2,1,0,0,1,0,0.8,0.8,1.1,1.8,3.0,62.0,17.0,0.04,0.04,0.08,0.04,0.08,0.03,0.04,0.07,0.03,0.07
1589,Giorgi Mamardashvili,GEO,GK,Valencia,La Liga,22.0,2000.0,37,37,3284,36.5,0,0,0,0,0,0,3,1,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
1591,Wilson Manafá,POR,DF,Granada,La Liga,29.0,1994.0,4,3,240,2.7,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,5.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.11
1593,Gianluca Mancini,ITA,DF,Roma,Serie A,27.0,1996.0,36,34,2869,31.9,4,1,5,4,0,0,9,0,1.9,1.9,1.1,3.0,38.0,139.0,13.0,0.13,0.03,0.16,0.13,0.16,0.06,0.04,0.1,0.06,0.1
1594,Marco Mancosu,ITA,MF,Cagliari,Serie A,34.0,1988.0,6,3,156,1.7,0,0,0,0,0,1,0,0,1.2,0.5,0.2,0.7,4.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.71,0.13,0.85,0.29,0.42
1595,Steve Mandanda,FRA,GK,Rennes,Ligue 1,38.0,1985.0,34,34,3060,34.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1596,Christos Mandas,GRE,GK,Lazio,Serie A,21.0,2001.0,9,8,721,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1597,Reinildo Mandava,MOZ,DF,Atlético Madrid,La Liga,29.0,1994.0,16,7,731,8.1,2,1,3,2,0,0,2,0,0.9,0.9,0.6,1.5,10.0,36.0,17.0,0.25,0.12,0.37,0.25,0.37,0.1,0.08,0.18,0.1,0.18
1598,Aïssa Mandi,ALG,DF,Villarreal,La Liga,31.0,1991.0,16,12,1113,12.4,1,0,1,1,0,0,3,0,0.6,0.6,0.7,1.3,6.0,55.0,4.0,0.08,0.0,0.08,0.08,0.08,0.05,0.05,0.1,0.05,0.1
1599,Rolando Mandragora,ITA,MF,Fiorentina,Serie A,26.0,1997.0,33,16,1588,17.6,3,3,6,3,0,0,5,0,3.5,3.5,1.6,5.2,7.0,93.0,32.0,0.17,0.17,0.34,0.17,0.34,0.2,0.09,0.29,0.2,0.29
1600,Orel Mangala,BEL,MF,Nott'ham Forest,Premier League,25.0,1998.0,20,19,1563,17.4,1,0,1,1,0,0,6,0,0.8,0.8,0.2,1.1,13.0,45.0,14.0,0.06,0.0,0.06,0.06,0.06,0.05,0.01,0.06,0.05,0.06
1601,Orel Mangala,BEL,MF,Lyon,Ligue 1,25.0,1998.0,8,4,398,4.4,2,0,2,2,0,0,0,0,1.0,1.0,0.7,1.6,9.0,26.0,21.0,0.45,0.0,0.45,0.45,0.45,0.22,0.15,0.37,0.22,0.37
1602,Vito Mannone,ITA,GK,Lille,Ligue 1,35.0,1988.0,2,1,91,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1603,Kostas Manolas,GRE,DF,Salernitana,Serie A,32.0,1991.0,8,6,488,5.4,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.03,0.03,0.03
1604,Javier Manquillo,ESP,DF,Celta Vigo,La Liga,29.0,1994.0,12,10,744,8.3,0,1,1,0,0,0,3,0,0.1,0.1,0.2,0.3,5.0,25.0,16.0,0.0,0.12,0.12,0.0,0.12,0.01,0.02,0.04,0.01,0.04
1605,Braydon Manu,GHA,MF,Darmstadt 98,Bundesliga,26.0,1997.0,4,3,171,1.9,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.4,5.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.19,0.04,0.23,0.19,0.23
1606,Benson Manuel,ANG,MF,Burnley,Premier League,26.0,1997.0,8,1,116,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,5.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.08,0.05,0.08
1607,Faitout Maouassa,FRA,DF,Granada,La Liga,25.0,1998.0,6,2,229,2.5,0,1,1,0,0,0,0,0,0.2,0.2,0.5,0.7,8.0,6.0,15.0,0.0,0.39,0.39,0.0,0.39,0.06,0.18,0.24,0.06,0.24
1609,Marcão,BRA,DF,Sevilla,La Liga,27.0,1996.0,7,3,355,3.9,0,0,0,0,0,0,2,0,0.0,0.0,0.2,0.2,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05
1610,Solly March,ENG,FW,Brighton,Premier League,29.0,1994.0,7,7,554,6.2,3,1,4,3,0,0,1,0,2.0,2.0,1.0,2.9,14.0,24.0,44.0,0.49,0.16,0.65,0.49,0.65,0.32,0.16,0.47,0.32,0.47
1611,Riccardo Marchizza,ITA,DF,Frosinone,Serie A,25.0,1998.0,13,13,1148,12.8,0,4,4,0,0,0,1,0,0.4,0.4,0.8,1.2,6.0,36.0,39.0,0.0,0.31,0.31,0.0,0.31,0.03,0.06,0.1,0.03,0.1
1612,Gian Marco Ferrari,ITA,DF,Sassuolo,Serie A,31.0,1992.0,31,25,2272,25.2,1,0,1,1,0,0,4,0,1.6,1.6,0.3,1.9,32.0,148.0,7.0,0.04,0.0,0.04,0.04,0.04,0.06,0.01,0.07,0.06,0.07
1613,Óscar de Marcos,ESP,DF,Athletic Club,La Liga,34.0,1989.0,28,26,2258,25.1,1,5,6,1,0,0,5,0,0.6,0.6,3.1,3.7,51.0,143.0,125.0,0.04,0.2,0.24,0.04,0.24,0.03,0.12,0.15,0.03,0.15
1614,Alberto Marí,ESP,FW,Valencia,La Liga,22.0,2001.0,16,2,276,3.1,1,1,2,0,1,1,0,0,1.8,1.2,0.9,2.0,2.0,6.0,13.0,0.33,0.33,0.65,0.0,0.33,0.6,0.28,0.88,0.39,0.67
1616,Pablo Marí,ESP,DF,Monza,Serie A,29.0,1993.0,34,30,2615,29.1,0,0,0,0,0,0,7,0,0.4,0.4,0.3,0.7,2.0,62.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02
1617,José María Giménez,URU,DF,Atlético Madrid,La Liga,28.0,1995.0,22,14,1326,14.7,0,0,0,0,0,0,5,0,0.4,0.4,0.1,0.5,2.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03
1618,Mariano,DOM,FW,Sevilla,La Liga,29.0,1993.0,9,2,244,2.7,0,0,0,0,0,0,1,0,1.2,1.2,0.1,1.3,3.0,6.0,17.0,0.0,0.0,0.0,0.0,0.0,0.45,0.02,0.48,0.45,0.48
1619,Mirko Marić,CRO,FW,Monza,Serie A,28.0,1995.0,10,1,287,3.2,1,0,1,1,0,0,0,1,0.9,0.9,0.5,1.3,2.0,4.0,30.0,0.31,0.0,0.31,0.31,0.31,0.27,0.15,0.42,0.27,0.42
1620,Rafa Marín,ESP,DF,Alavés,La Liga,21.0,2002.0,33,27,2443,27.1,0,0,0,0,0,0,6,0,0.7,0.7,0.3,1.0,13.0,77.0,6.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04
1621,Răzvan Marin,ROU,MF,Empoli,Serie A,27.0,1996.0,30,20,1818,20.2,0,3,3,0,0,0,3,0,1.1,1.1,3.0,4.1,21.0,72.0,24.0,0.0,0.15,0.15,0.0,0.15,0.05,0.15,0.2,0.05,0.2
1623,Guillermo Maripán,CHI,DF,Monaco,Ligue 1,29.0,1994.0,23,21,1767,19.6,1,0,1,1,0,0,0,1,0.4,0.4,0.5,0.9,4.0,59.0,5.0,0.05,0.0,0.05,0.05,0.05,0.02,0.02,0.05,0.02,0.05
1624,Mika Màrmol,ESP,DF,Las Palmas,La Liga,21.0,2002.0,36,36,3178,35.3,0,1,1,0,0,0,6,1,0.2,0.2,1.0,1.1,36.0,142.0,13.0,0.0,0.03,0.03,0.0,0.03,0.0,0.03,0.03,0.0,0.03
1625,Omar Marmoush,EGY,FW,Eint Frankfurt,Bundesliga,24.0,1999.0,29,27,2301,25.6,12,6,18,10,2,2,7,0,11.6,10.1,4.4,14.5,88.0,60.0,165.0,0.47,0.23,0.7,0.39,0.63,0.46,0.17,0.63,0.39,0.57
1626,Marquinhos,BRA,FW,Nantes,Ligue 1,20.0,2003.0,7,1,154,1.7,0,0,0,0,0,0,0,0,0.3,0.3,0.7,1.0,2.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.15,0.43,0.58,0.15,0.58
1627,Marquinhos,BRA,DF,Paris S-G,Ligue 1,29.0,1994.0,21,18,1537,17.1,0,1,1,0,0,0,1,0,0.4,0.4,0.5,0.9,18.0,114.0,3.0,0.0,0.06,0.06,0.0,0.06,0.03,0.03,0.05,0.03,0.05
1628,Unai Marrero,ESP,GK,Real Sociedad,La Liga,21.0,2001.0,2,1,142,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1629,Agustín Martegani,ARG,MF,Salernitana,Serie A,23.0,2000.0,18,6,731,8.1,1,0,1,1,0,0,1,0,0.6,0.6,0.5,1.1,14.0,28.0,22.0,0.12,0.0,0.12,0.12,0.12,0.07,0.06,0.13,0.07,0.13
